"Reconciliations — Saraswati Automobiles Pvt Ltd · 2026-11 — 4 clean of 9 that ran, out of 10. **A reconciliation that could not run is not clean**, and reporting it as clean would be a tick beside a control nobody performed"

#,Control,Compares,Ran?,Clean?,Reference,Detail,Amount
1,Inter-branch,what left a branch against what arrived at another,yes,yes,,,
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,MBLHAR0748NK65027,"register says branch nowhere, the dealer's system says branch 1",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,MBLHAR0748NK65026,"register says branch nowhere, the dealer's system says branch 1",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,MBLHAR0748NK52204,"register says branch nowhere, the dealer's system says branch 1",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0001,"register says branch nowhere, the dealer's system says branch 9",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0002,"register says branch nowhere, the dealer's system says branch 9",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0003,"register says branch nowhere, the dealer's system says branch 9",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0004,"register says branch nowhere, the dealer's system says branch 101",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0005,"register says branch nowhere, the dealer's system says branch 101",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0009,"register says branch nowhere, the dealer's system says branch 9",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0010,"register says branch nowhere, the dealer's system says branch 9",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0011,"register says branch nowhere, the dealer's system says branch 101",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0015,"register says branch nowhere, the dealer's system says branch 9",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0017,"register says branch nowhere, the dealer's system says branch 101",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0022,"register says branch nowhere, the dealer's system says branch 1",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0025,"register says branch nowhere, the dealer's system says branch 9",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0026,"register says branch nowhere, the dealer's system says branch 101",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0029,"register says branch nowhere, the dealer's system says branch 9",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0030,"register says branch nowhere, the dealer's system says branch 101",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0032,"register says branch nowhere, the dealer's system says branch 102",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0033,"register says branch nowhere, the dealer's system says branch 102",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0040,"register says branch nowhere, the dealer's system says branch 102",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0041,"register says branch nowhere, the dealer's system says branch 1",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0043,"register says branch nowhere, the dealer's system says branch 102",
2,Stock,"the chassis register against the dealer's own stock, and every parts shelf against zero",yes,no,NET-CH-0044,"register says branch nowhere, the dealer's system says branch 1",
3,Debtors,"each customer's ledger against Sundry Debtors, and against the dealer's own receivables",yes,yes,,"The dealer's own system is chasing 33 customer(s) for ₹24,64,598. Compare that against the ₹25,95,952.4 our books show outstanding — while the books are young these will differ, and the gap is the graduation scorecard's subject.",
4,Day close,cash counted at each branch against cash the books expected,yes,no,2026-11-30 · branch 101,excess — miscount: Counted twice; the difference stands.,₹ 200.00
5,Bank,the bank statement against the bank book,NO,no,,"**This reconciliation has not been performed.** Nothing imports a bank statement, so there is no second side. 6 non-cash movement(s) this month are what a statement would be matched against, and 0 of them carry no reference, which is what makes matching hard. Reporting this as clean would be a tick beside a control nobody has run.",
